Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000004624610745,109,109,9/1/23 10:16 PM,1,,Dining Room,,Dinner,,0.00,13.00,1.33,2.60,0.00,16.93,false,9/1/23 10:58 PM,9/1/23 10:58 PM,00:42:34,In Store
3401 Harrisburg Boulevard Suite A,800000004624685946,110,110,9/1/23 10:17 PM,1,,Dining Room,,Dinner,,0.00,21.00,1.95,4.20,0.00,27.15,false,9/1/23 10:20 PM,9/1/23 10:20 PM,00:03:03,In Store
3401 Harrisburg Boulevard Suite A,800000004624705122,111,111,9/1/23 10:18 PM,1,,Dining Room,,Dinner,,0.00,44.00,4.51,6.60,0.00,55.11,false,9/1/23 10:21 PM,9/1/23 10:21 PM,00:02:47,In Store
3401 Harrisburg Boulevard Suite A,800000004624828706,112,112,9/1/23 10:25 PM,1,,Dining Room,,Dinner,,0.00,12.00,1.23,2.64,0.00,15.87,false,9/1/23 10:26 PM,9/1/23 10:26 PM,00:00:36,In Store
3401 Harrisburg Boulevard Suite A,800000004624942581,113,113,9/1/23 10:29 PM,1,,Dining Room,,Dinner,,0.00,6.00,0.62,0.00,0.00,6.62,false,9/1/23 10:30 PM,9/1/23 10:30 PM,00:01:06,In Store
3401 Harrisburg Boulevard Suite A,800000004632379796,1,1,9/2/23 11:09 AM,1,,Dining Room,,,,0.00,18.00,1.85,0.00,0.00,19.85,false,9/2/23 11:31 AM,9/2/23 11:31 AM,00:21:49,In Store
3401 Harrisburg Boulevard Suite A,800000004632695352,2,2,9/2/23 11:31 AM,1,,Dining Room,,,,0.00,3.00,0.31,0.66,0.00,3.97,false,9/2/23 11:40 AM,9/2/23 11:40 AM,00:08:34,In Store
3401 Harrisburg Boulevard Suite A,800000004634102515,4,4,9/2/23 12:14 PM,1,,Dining Room,,,,0.00,15.00,1.55,3.00,0.00,19.55,false,9/2/23 12:15 PM,9/2/23 12:15 PM,00:01:21,In Store
3401 Harrisburg Boulevard Suite A,800000004634628313,5,5,9/2/23 12:16 PM,1,,Dining Room,,,,0.00,55.00,5.64,15.00,0.00,75.64,false,9/2/23 1:23 PM,9/2/23 1:23 PM,01:07:06,In Store
3401 Harrisburg Boulevard Suite A,800000004635643294,6,6,9/2/23 12:45 PM,1,,Dining Room,,,,7.50,22.50,2.30,2.20,0.00,27.00,false,9/2/23 12:51 PM,9/2/23 12:51 PM,00:05:41,In Store
3401 Harrisburg Boulevard Suite A,800000004635899958,7,7,9/2/23 12:54 PM,1,,Dining Room,,,,0.00,30.00,3.08,0.00,0.00,33.08,false,9/2/23 12:56 PM,9/2/23 12:56 PM,00:02:03,In Store
3401 Harrisburg Boulevard Suite A,800000004636036500,8,8,9/2/23 12:57 PM,1,,Dining Room,,,,0.00,35.00,3.59,7.00,0.00,45.59,false,9/2/23 1:20 PM,9/2/23 1:20 PM,00:23:11,In Store
3401 Harrisburg Boulevard Suite A,800000004636565069,10,10,9/2/23 1:11 PM,1,,Dining Room,,,,0.00,5.00,0.51,1.10,0.00,6.61,false,9/2/23 1:12 PM,9/2/23 1:12 PM,00:00:45,In Store
3401 Harrisburg Boulevard Suite A,800000004637337831,11,11,9/2/23 1:12 PM,1,,Dining Room,,,,0.00,6.00,0.62,1.00,0.00,7.62,false,9/2/23 1:31 PM,9/2/23 1:31 PM,00:18:13,In Store
3401 Harrisburg Boulevard Suite A,800000004637702332,12,12,9/2/23 1:31 PM,1,,Dining Room,,,,1.00,9.00,0.92,0.00,0.00,9.92,false,9/2/23 1:38 PM,9/2/23 1:38 PM,00:07:55,In Store
3401 Harrisburg Boulevard Suite A,800000004638598302,13,13,9/2/23 1:43 PM,1,,Dining Room,,,,0.00,5.00,0.51,0.75,0.00,6.26,false,9/2/23 2:00 PM,9/2/23 2:00 PM,00:17:39,In Store
3401 Harrisburg Boulevard Suite A,800000004640643618,15,15,9/2/23 2:46 PM,1,,Dining Room,,,,0.00,45.00,4.61,9.00,0.00,58.61,false,9/2/23 3:28 PM,9/2/23 3:28 PM,00:42:49,In Store
3401 Harrisburg Boulevard Suite A,800000004640727546,16,16,9/2/23 2:51 PM,1,,Dining Room,,,,0.00,23.00,2.35,3.45,0.00,28.80,false,9/2/23 2:56 PM,9/2/23 2:56 PM,00:05:21,In Store
3401 Harrisburg Boulevard Suite A,800000004640935307,17,17,9/2/23 2:56 PM,1,,Dining Room,,,,0.00,12.00,1.24,1.80,0.00,15.04,false,9/2/23 2:58 PM,9/2/23 2:58 PM,00:01:16,In Store
3401 Harrisburg Boulevard Suite A,800000004641074677,18,18,9/2/23 2:58 PM,1,,Dining Room,,,,18.75,143.25,14.70,20.00,0.00,177.95,false,9/2/23 6:17 PM,9/2/23 6:17 PM,03:19:30,In Store
3401 Harrisburg Boulevard Suite A,800000004641197104,19,19,9/2/23 3:03 PM,1,,Dining Room,,,,13.50,94.50,9.67,16.20,0.00,120.37,false,9/2/23 6:15 PM,9/2/23 6:15 PM,03:11:08,In Store
3401 Harrisburg Boulevard Suite A,800000004641217144,20,20,9/2/23 3:04 PM,1,,Dining Room,,,,0.00,0.00,0.00,0.00,0.00,0.00,true,9/2/23 3:04 PM,9/2/23 3:04 PM,00:00:20,In Store
3401 Harrisburg Boulevard Suite A,800000004642748835,21,21,9/2/23 3:29 PM,1,,Dining Room,,,,0.00,32.00,3.28,6.40,0.00,41.68,false,9/2/23 11:18 PM,9/2/23 11:18 PM,07:48:48,In Store
3401 Harrisburg Boulevard Suite A,800000004643059461,22,22,9/2/23 3:43 PM,1,,Dining Room,,,,0.00,31.00,3.17,4.65,0.00,38.82,false,9/2/23 6:20 PM,9/2/23 6:20 PM,02:36:21,In Store
3401 Harrisburg Boulevard Suite A,800000004643809507,23,23,9/2/23 4:04 PM,1,,Dining Room,,,,3.00,9.00,0.92,1.80,0.00,11.72,false,9/2/23 4:08 PM,9/2/23 4:08 PM,00:03:59,In Store
