Location,Order Id,Order #,Checks,Opened,# of Guests,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
3401 Harrisburg Boulevard Suite A,800000003859703636,41,41,8/4/23 6:12 PM,1,,Dining Room,,Dinner,,0.00,11.00,1.13,0.00,0.00,12.13,false,8/4/23 6:13 PM,8/4/23 6:13 PM,00:00:36,In Store
3401 Harrisburg Boulevard Suite A,800000003859928496,42,42,8/4/23 6:14 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,3.20,0.00,20.84,false,8/4/23 6:55 PM,8/4/23 6:55 PM,00:41:39,In Store
3401 Harrisburg Boulevard Suite A,800000003859970197,43,43,8/4/23 6:16 PM,1,,Dining Room,,Dinner,,0.00,18.00,1.85,1.50,0.00,21.35,false,8/4/23 6:17 PM,8/4/23 6:17 PM,00:01:15,In Store
3401 Harrisburg Boulevard Suite A,800000003860220608,44,44,8/4/23 6:19 PM,1,,Dining Room,,Dinner,,0.00,55.00,5.64,8.25,0.00,68.89,false,8/4/23 7:43 PM,8/4/23 7:43 PM,01:24:00,In Store
3401 Harrisburg Boulevard Suite A,800000003862061208,46,46,8/4/23 6:48 PM,1,,Dining Room,,Dinner,,0.00,18.00,1.84,3.60,0.00,23.44,false,8/4/23 7:31 PM,8/4/23 7:31 PM,00:43:39,In Store
3401 Harrisburg Boulevard Suite A,800000003862423363,47,47,8/4/23 6:48 PM,1,,Dining Room,,Dinner,,0.00,30.00,3.06,10.00,0.00,43.06,false,8/4/23 6:59 PM,8/4/23 6:59 PM,00:10:42,In Store
3401 Harrisburg Boulevard Suite A,800000003863006868,48,48,8/4/23 7:00 PM,1,,Dining Room,,Dinner,,0.00,16.00,1.64,1.00,0.00,18.64,false,8/4/23 7:04 PM,8/4/23 7:04 PM,00:03:16,In Store
3401 Harrisburg Boulevard Suite A,800000003863202782,49,49,8/4/23 7:04 PM,1,,Dining Room,,Dinner,,0.00,5.00,0.51,1.10,0.00,6.61,false,8/4/23 7:07 PM,8/4/23 7:07 PM,00:02:23,In Store
3401 Harrisburg Boulevard Suite A,800000003863895952,51,51,8/4/23 7:07 PM,1,,Dining Room,,Dinner,,0.00,14.00,1.44,3.08,0.00,18.52,false,8/4/23 7:22 PM,8/4/23 7:22 PM,00:15:25,In Store
3401 Harrisburg Boulevard Suite A,800000003864913873,52,52,8/4/23 7:28 PM,1,,Dining Room,,Dinner,,0.00,5.00,0.51,0.00,0.00,5.51,false,8/4/23 7:33 PM,8/4/23 7:33 PM,00:04:45,In Store
3401 Harrisburg Boulevard Suite A,800000003865125320,53,53,8/4/23 7:34 PM,1,,Dining Room,,Dinner,,0.00,19.00,1.95,0.00,0.00,20.95,false,8/4/23 8:16 PM,8/4/23 8:16 PM,00:42:23,In Store
3401 Harrisburg Boulevard Suite A,800000003865332327,55,55,8/4/23 7:38 PM,1,,Dining Room,,Dinner,,0.00,34.00,3.48,10.00,0.00,47.48,false,8/4/23 8:40 PM,8/4/23 8:40 PM,01:01:36,In Store
3401 Harrisburg Boulevard Suite A,800000003865396654,54,54,8/4/23 7:37 PM,1,,Dining Room,,Dinner,,0.00,9.00,0.93,1.00,0.00,10.93,false,8/4/23 7:40 PM,8/4/23 7:40 PM,00:03:13,In Store
3401 Harrisburg Boulevard Suite A,800000003865492829,57,57,8/4/23 7:41 PM,1,,Dining Room,,Dinner,,0.00,86.00,8.83,17.20,0.00,112.03,false,8/4/23 11:19 PM,8/4/23 11:19 PM,03:37:32,In Store
3401 Harrisburg Boulevard Suite A,800000003865877455,58,58,8/4/23 7:47 PM,1,,Dining Room,,Dinner,,0.00,49.00,5.02,9.80,0.00,63.82,false,8/4/23 8:40 PM,8/4/23 8:40 PM,00:53:16,In Store
